k,t,h,Wc0,Wc1,Wc2,rawRad0,rawRad1,rawRad2,projRad0,projRad1,projRad2
24,6.7592273408800590e-05,1.2987319800552091e-06,9.9985751217089856e+01,1.0985982772401900e+02,1.0215534392716754e+02,1.4939796592208621e+08,3.2437347836152892e+09,5.7985634060055761e+09,1.4939796592208621e+08,-5.2450923249125481e-07,2.9298234949237667e-08
25,6.8765868078346344e-05,1.1735946695457536e-06,1.0014558240191262e+02,1.0985982772401901e+02,1.0215534392716721e+02,1.4964279678277913e+08,3.2438305828678641e+09,5.7986262225949230e+09,2.1773161051896750e-08,-1.3317921911948361e-06,-1.4309194966699579e-06
26,7.0787873591904557e-05,2.0220055135582128e-06,1.0014558240191262e+02,1.0985982772401900e+02,1.0215534392716268e+02,1.4965314678970501e+08,3.2439954353137927e+09,5.7987344201906967e+09,1.9387869087950094e-08,1.1987076504738070e-06,6.0919830957573140e-07
27,8.0897901159695593e-05,1.0110027567791037e-05,1.0014558240191262e+02,1.0985982772401900e+02,1.0215534407127173e+02,1.4970473104474217e+08,3.2448158457245708e+09,5.7992748234952335e+09,-2.4363373540836619e-09,-3.2425805329694413e-07,1.0721585113060428e-06
28,8.7215296270096507e-05,6.3173951104009135e-06,1.0014558240191262e+02,1.0985982772401896e+02,1.0215534362252588e+02,1.4973682265087932e+08,3.2453252058468308e+09,5.7996119469433079e+09,-1.9527647054928821e-08,8.0516520029050298e-07,-1.2915443221572787e-06
29,9.3532691380497420e-05,6.3173951104009135e-06,1.0014558240191262e+02,1.0985982772401897e+02,1.0215534268413229e+02,1.4976880426974976e+08,3.2458320167997470e+09,5.7999486184458103e+09,-9.8970645012741443e-09,5.2083396440139040e-07,-8.6521549746976234e-07
30,1.0037539499045794e-04,6.8427036099605239e-06,1.0014558240191262e+02,1.0985982772401901e+02,1.0215534201068670e+02,1.4980332018878433e+08,3.2463780748749194e+09,5.8003128008447962e+09,-1.5611135495419148e-08,1.1764859664253891e-06,-9.7395968623459339e-07
31,1.0664020750786560e-04,6.2648125174076508e-06,1.0014558240191262e+02,1.0985982772401900e+02,1.0215533067806921e+02,1.4983480626376158e+08,3.2468753595434089e+09,5.8006451481892700e+09,-4.1772523218241986e-08,1.1183601600350812e-07,7.3542469181120396e-07
32,1.1198697680180639e-04,5.3467692939407915e-06,1.0014558240191262e+02,1.0985982772401897e+02,1.0215531717059304e+02,1.4986159101133901e+08,3.2472977527508183e+09,5.8009282329938316e+09,3.6203061881678877e-08,-3.6129040381638333e-07,-2.2415870262193494e-06
33,1.1713852640523202e-04,5.1515496034256283e-06,1.0014558240191263e+02,1.0985982772401897e+02,1.0215531395578331e+02,1.4988732129862893e+08,3.2477029564427533e+09,5.8012012031514807e+09,-4.0755026020633522e-09,-1.0490175554878078e-06,1.1435231499490328e-06
34,1.2300737246818583e-04,5.8688460629538193e-06,1.0014558240191262e+02,1.0985982772401898e+02,1.0215531286720881e+02,1.4991654232621914e+08,3.2481624582316046e+09,5.8015119241602802e+09,-1.4703687156725209e-09,2.1779487724415958e-07,4.4308990254648961e-07
35,1.2978171027286010e-04,6.7743378046742611e-06,1.0014558240191262e+02,1.0985982772401903e+02,1.0215531236413747e+02,1.4995014950553814e+08,3.2486900338473921e+09,5.8018700844161911e+09,2.0349887108750409e-08,7.9805340646998957e-07,-3.7027075450168923e-07
36,1.3649512772876001e-04,6.7134174558999143e-06,1.0014558240191262e+02,1.0985982772401901e+02,1.0215530920936466e+02,1.4998332455444899e+08,3.2492098695831280e+09,5.8022242747315674e+09,1.7656532236287603e-08,1.2262353266123682e-07,-4.0538543544244021e-07
37,1.4221439415776715e-04,5.7192664290071427e-06,1.0014558240191262e+02,1.0985982772401903e+02,1.0215528981008862e+02,1.5001148444763055e+08,3.2496503646725831e+09,5.8025246182605591e+09,1.1367092156433500e-08,-3.2420030038338155e-07,-1.9275539671070874e-06
38,1.4727285913961009e-04,5.0584649818429374e-06,1.0014558240191262e+02,1.0985982772401897e+02,1.0215528299356060e+02,1.5003631191751418e+08,3.2500381490021043e+09,5.8027904843214149e+09,-3.8801317714387551e-10,7.1217345976037905e-07,6.6974462242797017e-07
39,1.5267872860408560e-04,5.4058694644755077e-06,1.0014558240191263e+02,1.0985982772401901e+02,1.0215528145726553e+02,1.5006276242114416e+08,3.2504506759138441e+09,5.8030745384288330e+09,9.8368673207005486e-09,4.5609567678184249e-07,-1.6898266039788723e-06
40,1.5910285194635349e-04,6.4241233422678956e-06,1.0014558240191262e+02,1.0985982772401903e+02,1.0215528074510789e+02,1.5009408457875493e+08,3.2509383613806658e+09,5.8034116293330536e+09,-2.2438769065047381e-08,3.9855967770563439e-07,-2.5652548174548429e-06
41,1.6608129281673760e-04,6.9784408703841042e-06,1.0014558240191262e+02,1.0985982772401904e+02,1.0215528093845913e+02,1.5012797290525785e+08,3.2514649865939384e+09,5.8037771893840933e+09,1.4468128028966021e-08,-3.0947376217227429e-07,1.6248650354100391e-06
42,1.7232933093616634e-04,6.2480381194287410e-06,1.0014558240191262e+02,1.0985982772401906e+02,1.0215526646471041e+02,1.5015819329695970e+08,3.2519337095412855e+09,5.8041030592047577e+09,-2.7945077363256132e-08,5.4086694944999181e-07,-2.2443055058829486e-07
43,1.7754816391882478e-04,5.2188329826584388e-06,1.0014558240191261e+02,1.0985982772401906e+02,1.0215525155480265e+02,1.5018334780209699e+08,3.2523232026099348e+09,5.8043746811337729e+09,-3.9240603655343875e-08,4.4479475036496297e-07,-9.2283335106913000e-07
44,1.8260647046115943e-04,5.0583065423346523e-06,1.0014558240191261e+02,1.0985982772401906e+02,1.0215524874656674e+02,1.5020765210174483e+08,3.2526989574401598e+09,5.8046382101719646e+09,-1.2664429505093722e-08,-3.7065092328703031e-08,-1.2822192729800008e-07
45,1.8851321097947029e-04,5.9067405183108631e-06,1.0014558240191261e+02,1.0985982772401904e+02,1.0215524785735113e+02,1.5023593751249537e+08,3.2531355441630588e+09,5.8049455863528738e+09,-2.0630750441341661e-09,-3.5430639400146902e-07,1.4047213880985510e-06
46,1.9542913906034619e-04,6.9159280808759010e-06,1.0014558240191261e+02,1.0985982772401907e+02,1.0215524776019130e+02,1.5026892460498703e+08,3.2536437142799640e+09,5.8053048545060072e+09,1.4606598597310949e-08,-7.7588902058778331e-07,2.1339610611903481e-06
47,2.0000000000000001e-04,4.5708609396538159e-06,1.0014558240191262e+02,1.0985982772401907e+02,1.0215524623279894e+02,1.5029064867683330e+08,3.2539777887173557e+09,5.8055418216539459e+09,8.2412157098588068e-09,6.5694166551111266e-07,-7.6670062298944686e-07
